,0
1998-09-01,91.266
1998-10-01,91.72399999999999
1998-11-01,92.206
1998-12-01,92.71799999999999
1999-01-01,93.21600000000001
1999-02-01,93.68
1999-03-01,94.225
1999-04-01,94.79299999999999
1999-05-01,95.352
1999-06-01,95.98299999999999
1999-07-01,96.59899999999999
1999-08-01,97.227
1999-09-01,97.87
1999-10-01,98.53
1999-11-01,99.161
1999-12-01,99.85
2000-01-01,100.552
2000-02-01,101.34
2000-03-01,102.12700000000001
2000-04-01,102.92299999999999
2000-05-01,103.678
2000-06-01,104.425
2000-07-01,105.054
2000-08-01,105.76799999999999
2000-09-01,106.538
2000-10-01,107.383
2000-11-01,108.302
2000-12-01,109.139
2001-01-01,109.848
2001-02-01,110.50200000000001
2001-03-01,111.109
2001-04-01,111.652
2001-05-01,112.164
2001-06-01,112.79700000000001
2001-07-01,113.491
2001-08-01,114.169
2001-09-01,114.81200000000001
2001-10-01,115.309
2001-11-01,115.85600000000001
2001-12-01,116.45299999999999
2002-01-01,117.14399999999999
2002-02-01,117.845
2002-03-01,118.68700000000001
2002-04-01,119.611
2002-05-01,120.72399999999999
2002-06-01,121.81299999999999
2002-07-01,122.889
2002-08-01,123.831
2002-09-01,124.781
2002-10-01,125.736
2002-11-01,126.669
2002-12-01,127.62299999999999
2003-01-01,128.461
2003-02-01,129.356
2003-03-01,130.148
2003-04-01,130.884
2003-05-01,131.735
2003-06-01,132.649
2003-07-01,133.77700000000002
2003-08-01,134.968
2003-09-01,136.29399999999998
2003-10-01,137.532
2003-11-01,138.79399999999998
2003-12-01,140.18
2004-01-01,141.64600000000002
2004-02-01,143.191
2004-03-01,145.058
2004-04-01,146.593
2004-05-01,148.186
2004-06-01,149.852
2004-07-01,151.338
2004-08-01,152.635
2004-09-01,154.179
2004-10-01,155.752
2004-11-01,157.528
2004-12-01,159.33100000000002
2005-01-01,161.289
2005-02-01,163.346
2005-03-01,165.81400000000002
2005-04-01,167.503
2005-05-01,169.352
2005-06-01,171.192
2005-07-01,172.861
2005-08-01,174.44299999999998
2005-09-01,176.43900000000002
2005-10-01,178.028
2005-11-01,179.68200000000002
2005-12-01,180.91099999999997
2006-01-01,182.321
2006-02-01,183.28799999999998
2006-03-01,184.365
2006-04-01,184.329
2006-05-01,184.155
2006-06-01,183.507
2006-07-01,183.06599999999997
2006-08-01,182.593
2006-09-01,182.797
2006-10-01,183.197
2006-11-01,183.607
2006-12-01,184.139
2007-01-01,184.517
2007-02-01,184.59900000000002
2007-03-01,184.15
2007-04-01,183.01
2007-05-01,181.601
2007-06-01,180.253
2007-07-01,179.11
2007-08-01,178.11599999999999
2007-09-01,177.55700000000002
2007-10-01,176.623
2007-11-01,175.146
2007-12-01,174.34099999999998
2008-01-01,173.132
2008-02-01,171.54
2008-03-01,170.05200000000002
2008-04-01,168.33599999999998
2008-05-01,166.657
2008-06-01,165.016
2008-07-01,163.565
2008-08-01,161.987
2008-09-01,160.30700000000002
2008-10-01,158.326
2008-11-01,156.141
2008-12-01,153.618
2009-01-01,151.506
2009-02-01,150.014
2009-03-01,148.66
2009-04-01,147.94899999999998
2009-05-01,147.69299999999998
2009-06-01,148.088
2009-07-01,148.408
2009-08-01,148.27700000000002
2009-09-01,148.025
2009-10-01,147.85
2009-11-01,148.136
2009-12-01,147.931
2010-01-01,147.39700000000002
2010-02-01,145.632
2010-03-01,145.858
2010-04-01,146.401
2010-05-01,146.391
2010-06-01,145.718
2010-07-01,144.986
2010-08-01,143.911
2010-09-01,143.015
2010-10-01,142.526
2010-11-01,142.166
2010-12-01,142.053
2011-01-01,141.515
2011-02-01,140.342
2011-03-01,139.974
2011-04-01,140.006
2011-05-01,139.903
2011-06-01,139.859
2011-07-01,139.72799999999998
2011-08-01,139.306
2011-09-01,138.664
2011-10-01,137.947
2011-11-01,137.14600000000002
2011-12-01,136.668
2012-01-01,136.602
2012-02-01,136.526
2012-03-01,137.89700000000002
2012-04-01,139.148
2012-05-01,140.149
2012-06-01,141.02700000000002
2012-07-01,141.668
2012-08-01,142.278
2012-09-01,142.905
2012-10-01,143.595
2012-11-01,144.578
2012-12-01,145.494
2013-01-01,146.82
2013-02-01,147.77700000000002
2013-03-01,149.957
2013-04-01,151.514
2013-05-01,152.846
2013-06-01,154.196
2013-07-01,155.601
2013-08-01,156.957
2013-09-01,158.22
2013-10-01,159.238
2013-11-01,160.07399999999998
2013-12-01,160.993
2014-01-01,161.924
2014-02-01,162.52100000000002
2014-03-01,163.08
2014-04-01,163.385
2014-05-01,163.651
2014-06-01,164.05900000000003
2014-07-01,164.583
2014-08-01,165.207
2014-09-01,165.898
2014-10-01,166.63400000000001
2014-11-01,167.328
2014-12-01,168.044
2015-01-01,168.62099999999998
2015-02-01,169.11900000000003
2015-03-01,169.78900000000002
2015-04-01,170.28900000000002
2015-05-01,170.87099999999998
2015-06-01,171.46900000000002
2015-07-01,172.146
2015-08-01,172.923
2015-09-01,173.815
2015-10-01,174.778
2015-11-01,175.72299999999998
2015-12-01,176.52700000000002
2016-01-01,177.25099999999998
2016-02-01,177.635
2016-03-01,178.153
2016-04-01,178.75400000000002
2016-05-01,179.412
2016-06-01,180.076
2016-07-01,180.843
2016-08-01,181.828
2016-09-01,182.804
2016-10-01,183.733
2016-11-01,184.74200000000002
2016-12-01,185.707
2017-01-01,186.785
